api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
MRAZZA,2023-04-30T14:26:06.701090-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:06-04:00,2023-04-30T14:26:05-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:26:06.900257-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.871331-04:00,2023-04-30T14:25:30.871331-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:26:14.114597-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:06-04:00,2023-04-30T14:26:10-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:26:14.309355-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.871331-04:00,2023-04-30T14:25:30.871331-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:26:26.505939-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:07-04:00,2023-04-30T14:26:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:26:26.709167-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.890796-04:00,2023-04-30T14:25:40.890796-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:26:47.183001-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19-04:00,2023-04-30T14:26:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:26:47.382128-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.890796-04:00,2023-04-30T14:25:40.890796-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:27:07.095860-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19-04:00,2023-04-30T14:27:05-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:27:07.366761-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.900127-04:00,2023-04-30T14:26:10.900127-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:27:27.113729-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19-04:00,2023-04-30T14:27:25-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:27:27.371868-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.889112-04:00,2023-04-30T14:25:55.889112-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:27:46.015601-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:19-04:00,2023-04-30T14:27:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
