api,fetch_time,station,head_sign,projected_arrival,last_updated,door_open,door_close,scheduled_departure
MRAZZA,2022-11-20T10:55:45.768269-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:45-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:45.891008-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:53.067649-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:50-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:53.208901-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:58.397355-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:55-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:58.507381-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:03.654183-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:00-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:03.772437-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:08.940963-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:05-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:09.033830-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:14.207871-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:10-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:14.445564-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:21.101425-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:15-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:21.277255-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:27.953109-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:25-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:28.090383-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:33.234236-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:25-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:33.342738-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:38.489517-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51-05:00,2022-11-20T10:56:35-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
