api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
MRAZZA,2023-04-02T14:24:48.228337-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:39:04-04:00,2023-04-02T14:24:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:24:48.238620-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.314650-04:00,2023-04-02T14:23:13.314650-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:25:08.235304-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:39:24-04:00,2023-04-02T14:25:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:25:08.244549-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:35.367230-04:00,2023-04-02T14:24:13.367230-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:25:28.241508-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:39:44-04:00,2023-04-02T14:25:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:25:28.251354-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:25.085179-04:00,2023-04-02T14:24:03.085179-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:25:48.247539-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:14-04:00,2023-04-02T14:25:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:25:48.256903-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:25.085179-04:00,2023-04-02T14:24:03.085179-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:26:08.281215-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:14-04:00,2023-04-02T14:26:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:26:08.290575-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:15.196013-04:00,2023-04-02T14:25:38.196013-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:26:28.299049-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:36-04:00,2023-04-02T14:26:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:26:28.308343-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:39:25.115494-04:00,2023-04-02T14:25:03.115494-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:26:48.317501-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:57-04:00,2023-04-02T14:26:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:26:48.326994-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:15.129794-04:00,2023-04-02T14:25:48.129794-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:27:08.400470-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:18-04:00,2023-04-02T14:27:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:27:08.410122-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:47.171200-04:00,2023-04-02T14:26:33.171200-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:27:28.358839-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:38-04:00,2023-04-02T14:27:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:27:28.368267-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:40:47.171200-04:00,2023-04-02T14:26:33.171200-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:27:48.350753-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:59-04:00,2023-04-02T14:27:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:27:48.360129-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:39.213758-04:00,2023-04-02T14:27:23.213758-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:28:08.374209-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:19-04:00,2023-04-02T14:28:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:28:08.383855-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:28.472198-04:00,2023-04-02T14:27:13.472198-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:28:28.407030-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:39-04:00,2023-04-02T14:28:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:28:28.419302-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:28.472198-04:00,2023-04-02T14:27:13.472198-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:28:48.409202-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:28:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:28:48.419295-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:41:59.465175-04:00,2023-04-02T14:27:43.465175-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:29:08.500495-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:29:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:29:08.509950-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:10.433008-04:00,2023-04-02T14:27:58.433008-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:29:28.443559-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:29:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:29:28.452980-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:10.433008-04:00,2023-04-02T14:27:58.433008-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:29:48.457938-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:29:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:29:48.467530-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46.495791-04:00,2023-04-02T14:28:43.495791-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:30:08.487132-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:30:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:30:08.496608-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46.477645-04:00,2023-04-02T14:29:28.477645-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:30:28.499796-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46-04:00,2023-04-02T14:30:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:30:28.509073-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:42:46.477645-04:00,2023-04-02T14:29:28.477645-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
